date,total_clones,unique_clones
2022-08-25,84,16
2022-08-26,8,5
2022-08-27,19,8
2022-08-28,4,3
2022-08-29,5,4
2022-08-30,3,3
2022-08-31,8,5
2022-09-01,4,3
2022-09-02,2,2
2022-09-03,2,2
2022-09-04,3,3
2022-09-05,3,3
2022-09-06,9,6
2022-09-07,6,5
2022-09-08,2,2
2022-09-09,2,2
2022-09-10,3,3
2022-09-11,2,2
2022-09-12,1,1
2022-09-13,3,3
2022-09-14,2,2
2022-09-15,2,2
2022-09-16,1,1
2022-09-17,3,3
2022-09-18,2,2
2022-09-19,1,1
2022-09-20,1,1
2022-09-21,1,1
2022-09-22,1,1
2022-09-23,1,1
2022-09-24,2,2
2022-09-25,1,1
2022-09-26,2,2
2022-09-27,1,1
2022-09-28,1,1
2022-09-29,1,1
2022-09-30,1,1
2022-10-01,1,1
2022-10-02,1,1
2022-10-03,2,2
2022-10-04,2,2
2022-10-05,3,3
2022-10-06,2,2
2022-10-07,3,2
2022-10-08,3,2
2022-10-09,4,3
2022-10-10,3,2
2022-10-11,1,1
2022-10-12,4,3
2022-10-13,4,3
2022-10-14,6,5
2022-10-15,4,3
2022-10-16,5,4
2022-10-17,1,1
2022-10-18,4,3
2022-10-19,6,5
2022-10-20,4,3
2022-10-21,4,3
2022-10-22,4,3
2022-10-23,5,4
2022-10-24,5,4
2022-10-25,7,5
2022-10-26,4,3
2022-10-27,6,5
2022-10-28,6,5
2022-10-29,5,4
2022-10-30,5,4
2022-10-31,1,1
2022-11-01,4,3
2022-11-02,6,5
2022-11-03,6,5
2022-11-04,6,5
2022-11-05,7,6
2022-11-06,4,3
2022-11-07,5,4
2022-11-08,5,4
2022-11-09,2,2
2022-11-10,7,5
2022-11-11,5,4
2022-11-12,4,3
2022-11-13,4,3
2022-11-14,6,4
2022-11-15,5,4
2022-11-16,4,3
2022-11-17,6,5
2022-11-18,5,4
2022-11-19,4,3
2022-11-20,6,5
2022-11-21,4,3
2022-11-22,4,3
2022-11-23,5,4
2022-11-24,4,3
2022-11-25,6,5
2022-11-26,6,5
2022-11-27,6,5
2022-11-28,3,2
2022-11-29,1,1
2022-11-30,4,3
2022-12-01,5,4
2022-12-02,4,3
2022-12-03,4,3
2022-12-04,3,2
2022-12-05,5,4
2022-12-06,2,2
2022-12-07,5,4
2022-12-08,2,2
2022-12-09,1,1
2022-12-10,2,2
2022-12-11,2,2
2022-12-12,4,3
2022-12-13,18,6
2022-12-14,3,2
2022-12-15,5,4
2022-12-16,2,2
2022-12-17,5,4
2022-12-18,5,4
2022-12-19,4,3
2022-12-20,3,2
2022-12-21,6,4
2022-12-22,3,2
2022-12-23,5,4
2022-12-24,5,4
2022-12-25,5,4
2022-12-26,5,4
2022-12-27,3,2
2022-12-28,4,3
2022-12-29,4,3
2022-12-30,3,2
2022-12-31,3,2
2023-01-01,5,4
2023-01-02,4,3
2023-01-03,5,4
2023-01-04,7,5
2023-01-05,5,4
2023-01-06,5,4
2023-01-07,5,4
2023-01-08,3,2
2023-01-09,6,5
2023-01-10,4,3
2023-01-11,4,3
2023-01-12,5,4
2023-01-13,3,2
2023-01-14,4,3
2023-01-15,5,4
2023-01-16,5,4
2023-01-17,3,2
2023-01-18,4,3
2023-01-19,3,3
2023-01-20,3,2
2023-01-21,3,2
2023-01-22,6,5
2023-01-23,5,4
2023-01-24,4,3
2023-01-25,5,4
2023-01-26,5,4
2023-01-27,6,5
2023-01-28,4,3
2023-01-29,5,4
2023-01-30,5,4
2023-01-31,5,4
2023-02-01,8,6
2023-02-02,5,4
2023-02-03,4,3
2023-02-04,4,3
2023-02-05,4,3
2023-02-06,5,4
2023-02-07,4,3
2023-02-08,5,4
2023-02-09,4,3
2023-02-10,5,4
2023-02-11,5,3
2023-02-12,5,4
2023-02-13,6,5
2023-02-14,4,3
2023-02-15,5,3
2023-02-16,4,3
2023-02-17,4,4
2023-02-18,4,3
2023-02-19,4,3
2023-02-20,5,4
2023-02-21,5,4
2023-02-22,5,4
2023-02-23,6,5
2023-02-24,4,3
2023-02-25,5,4
2023-02-26,4,3
2023-02-27,5,4
2023-02-28,7,6
2023-03-01,6,5
2023-03-02,7,5
2023-03-03,6,4
2023-03-04,5,4
2023-03-05,7,6
2023-03-06,5,4
2023-03-07,23,2
2023-03-08,26,4
2023-03-09,27,5
2023-03-10,5,4
2023-03-11,4,3
2023-03-12,4,3
2023-03-13,6,5
2023-03-14,3,2
2023-03-15,4,3
2023-03-16,4,3
2023-03-17,7,6
2023-03-18,6,5
2023-03-19,4,3
2023-03-20,5,4
2023-03-21,7,4
2023-03-22,4,3
2023-03-23,3,2
2023-03-24,4,3
2023-03-25,4,3
2023-03-26,4,3
2023-03-27,6,5
2023-03-28,4,3
2023-03-29,4,3
2023-03-30,3,2
2023-03-31,5,4
2023-04-01,3,2
2023-04-02,3,2
2023-04-03,2,2
2023-04-04,4,3
2023-04-05,4,3
2023-04-06,3,2
2023-04-07,3,2
2023-04-08,3,2
2023-04-09,5,4
2023-04-10,3,2
2023-04-11,3,3
2023-04-12,5,4
2023-04-13,3,2
2023-04-14,3,2
2023-04-15,4,3
